,estimated_profit
"(20166, 3363)",24.981909379245934
"(20166, 1886)",24.97469732041758
"(20166, 2353)",24.978193741751046
"(20166, 475)",24.98103121659675
"(20166, 770)",24.980349105583347
"(20166, 3970)",24.978203736027247
"(20166, 1751)",24.974909551523783
"(20166, 3986)",24.976531083263502
"(20166, 1511)",24.980477406297624
"(20166, 411)",24.97569853146203
"(20166, 3562)",24.97459473721539
"(20166, 1072)",24.979996116969357
"(20166, 3364)",24.97382590903989
"(20166, 1339)",24.981733022439897
"(16964, 3363)",24.980248648838316
"(16964, 1886)",24.984989173266438
"(16964, 2353)",24.97993615744532
"(16964, 475)",24.980547215298497
"(16964, 770)",24.98052890125016
"(16964, 3970)",24.97767811760994
"(16964, 1751)",24.9839495265402
"(16964, 3986)",24.980102023000313
"(16964, 1511)",24.980461241920686
"(16964, 411)",24.98338668113375
"(16964, 3562)",24.984805356649733
"(16964, 1072)",24.980548880747815
"(16964, 3364)",24.982608902155476
"(16964, 1339)",24.98039437312675
"(10575, 3363)",24.987653073341956
"(10575, 1886)",24.980441014513605
"(10575, 2353)",24.983937435847068
"(10575, 475)",24.986774910692773
"(10575, 770)",24.986092799679373
"(10575, 3970)",24.98394743012327
"(10575, 1751)",24.980653245619806
"(10575, 3986)",24.982274777359525
"(10575, 1511)",24.98622110039365
"(10575, 411)",24.98144222555805
"(10575, 3562)",24.980338431311413
"(10575, 1072)",24.985739811065383
"(10575, 3364)",24.97956960313591
"(10575, 1339)",24.98747671653592
"(55472, 3363)",24.991948364203385
"(55472, 1886)",24.98473630537503
"(55472, 2353)",24.988232726708496
"(55472, 475)",24.9910702015542
"(55472, 770)",24.990388090540797
"(55472, 3970)",24.988242720984697
"(55472, 1751)",24.984948536481234
"(55472, 3986)",24.986570068220953
"(55472, 1511)",24.990516391255078
"(55472, 411)",24.98573751641948
"(55472, 3562)",24.98463372217284
"(55472, 1072)",24.99003510192681
"(55472, 3364)",24.98386489399734
"(55472, 1339)",24.991772007397348
"(58590, 3363)",24.974485122730588
"(58590, 1886)",24.967273063902237
"(58590, 2353)",24.970769485235703
"(58590, 475)",24.97360696008141
"(58590, 770)",24.972924849068004
"(58590, 3970)",24.970779479511904
"(58590, 1751)",24.96748529500844
"(58590, 3986)",24.96910682674816
"(58590, 1511)",24.97305314978228
"(58590, 411)",24.968274274946687
"(58590, 3562)",24.967170480700048
"(58590, 1072)",24.972571860454014
"(58590, 3364)",24.966401652524542
"(58590, 1339)",24.974308765924555
"(17099, 3363)",24.98386270859376
"(17099, 1886)",24.97665064976541
"(17099, 2353)",24.980147071098877
"(17099, 475)",24.982984545944582
"(17099, 770)",24.982302434931178
"(17099, 3970)",24.980157065375078
"(17099, 1751)",24.976862880871614
"(17099, 3986)",24.978484412611333
"(17099, 1511)",24.982430735645455
"(17099, 411)",24.97765186080986
"(17099, 3562)",24.976548066563222
"(17099, 1072)",24.981949446317188
"(17099, 3364)",24.975779238387716
"(17099, 1339)",24.98368635178773
"(36317, 3363)",24.965621443640103
"(36317, 1886)",24.970361968068225
"(36317, 2353)",24.965308952247106
"(36317, 475)",24.965920010100284
"(36317, 770)",24.965901696051947
"(36317, 3970)",24.963050912411727
"(36317, 1751)",24.969322321341988
"(36317, 3986)",24.9654748178021
"(36317, 1511)",24.965834036722473
"(36317, 411)",24.96875947593554
"(36317, 3562)",24.97017815145152
"(36317, 1072)",24.965921675549602
"(36317, 3364)",24.967981696957263
"(36317, 1339)",24.965767167928536
"(39505, 3363)",24.97745178101874
"(39505, 1886)",24.97023972219039
"(39505, 2353)",24.97373614352385
"(39505, 475)",24.976573618369557
"(39505, 770)",24.975891507356156
"(39505, 3970)",24.973746137800052
"(39505, 1751)",24.97045195329659
"(39505, 3986)",24.972073485036308
"(39505, 1511)",24.976019808070433
"(39505, 411)",24.971240933234835
"(39505, 3562)",24.970137138988196
"(39505, 1072)",24.975538518742166
"(39505, 3364)",24.969368310812694
"(39505, 1339)",24.977275424212703
"(46095, 3363)",24.99112905668164
"(46095, 1886)",24.98391699785329
"(46095, 2353)",24.987413419186755
"(46095, 475)",24.990250894032457
"(46095, 770)",24.989568783019056
"(46095, 3970)",24.987423413462956
"(46095, 1751)",24.984129228959493
"(46095, 3986)",24.985750760699208
"(46095, 1511)",24.989697083733333
"(46095, 411)",24.98491820889774
"(46095, 3562)",24.983814414651096
"(46095, 1072)",24.989215794405066
"(46095, 3364)",24.983045586475594
"(46095, 1339)",24.990952699875606
"(13922, 3363)",24.983095023604395
"(13922, 1886)",24.987835548032518
"(13922, 2353)",24.9827825322114
"(13922, 475)",24.983393590064576
"(13922, 770)",24.983375276016236
"(13922, 3970)",24.980524492376016
"(13922, 1751)",24.986795901306277
"(13922, 3986)",24.982948397766393
"(13922, 1511)",24.983307616686762
"(13922, 411)",24.986233055899827
"(13922, 3562)",24.987651731415813
"(13922, 1072)",24.983395255513894
"(13922, 3364)",24.985455276921552
"(13922, 1339)",24.983240747892825
"(42816, 3363)",24.965613201840586
"(42816, 1886)",24.97035372626871
"(42816, 2353)",24.96530071044759
"(42816, 475)",24.965911768300767
"(42816, 770)",24.96589345425243
"(42816, 3970)",24.963042670612207
"(42816, 1751)",24.96931407954247
"(42816, 3986)",24.965466576002584
"(42816, 1511)",24.965825794922957
"(42816, 411)",24.968751234136022
"(42816, 3562)",24.970169909652004
"(42816, 1072)",24.965913433750085
"(42816, 3364)",24.967973455157747
"(42816, 1339)",24.96575892612902
"(46124, 3363)",24.98970503533773
"(46124, 1886)",24.982492976509377
"(46124, 2353)",24.985989397842843
"(46124, 475)",24.98882687268855
"(46124, 770)",24.988144761675144
"(46124, 3970)",24.985999392119044
"(46124, 1751)",24.98270520761558
"(46124, 3986)",24.9843267393553
"(46124, 1511)",24.98827306238942
"(46124, 411)",24.983494187553827
"(46124, 3562)",24.98239039330719
"(46124, 1072)",24.987791773061154
"(46124, 3364)",24.981621565131686
"(46124, 1339)",24.989528678531695
"(26883, 3363)",24.992815422574033
"(26883, 1886)",24.98560336374568
"(26883, 2353)",24.989099785079144
"(26883, 475)",24.99193725992485
"(26883, 770)",24.991255148911446
"(26883, 3970)",24.989109779355346
"(26883, 1751)",24.985815594851882
"(26883, 3986)",24.9874371265916
"(26883, 1511)",24.991383449625726
"(26883, 411)",24.986604574790128
"(26883, 3562)",24.98550078054349
"(26883, 1072)",24.99090216029746
"(26883, 3364)",24.984731952367987
"(26883, 1339)",24.992639065767996
"(49342, 3363)",24.978733378077603
"(49342, 1886)",24.971521319249252
"(49342, 2353)",24.975017740582718
"(49342, 475)",24.97785521542842
"(49342, 770)",24.97717310441502
"(49342, 3970)",24.97502773485892
"(49342, 1751)",24.971733550355456
"(49342, 3986)",24.97335508209517
"(49342, 1511)",24.977301405129296
"(49342, 411)",24.972522530293702
"(49342, 3562)",24.97141873604706
"(49342, 1072)",24.97682011580103
"(49342, 3364)",24.970649907871557
"(49342, 1339)",24.97855702127157
