order_id,pickup_location,delivery_location,ready_time,fetch_time
19595,r852,home1,1666002576,1666002993
6772,r1066,home2,1666014567,1666015292
9705,r627,home3,1665975542,1665976460
63942,r347,home4,1665972758,1665973357
57753,r347,home5,1665978114,1665978807
16348,r347,home6,1666005867,1666006393
32257,r627,home7,1665996991,1665997510
38584,r627,home8,1665983849,1665984279
60925,r1388,home9,1665980113,1665980896
57718,r1388,home10,1665976635,1665977136
57704,r347,home11,1665975753,1665976694
29232,r1962,home12,1666017257,1666020899
51624,r1388,home13,1666000021,1666000676
54618,r953,home14,1665977670,1665979257
60871,r347,home15,1665976384,1665977084
57791,r627,home16,1665980479,1665981392
9981,r1066,home17,1666007442,1666008115
10005,r627,home18,1666009870,1666010246
3189,r627,home19,1665974089,1665974640
22611,r953,home20,1665978029,1665979342
