,delivery_cost
"(58062, 719)",0.0065199290597084
"(58062, 3677)",0.004220828682627728
"(58062, 1365)",0.020358938844605528
"(58062, 2691)",0.007170704945032535
"(58062, 1121)",0.007950879499726327
"(58062, 1493)",0.005384303269876365
"(58062, 770)",0.004068051540649067
"(58062, 1533)",0.01992939506848266
"(58062, 2847)",0.006274605144376317
"(58062, 3335)",0.019114888894175307
"(58062, 565)",0.004561107819339717
"(58062, 1973)",0.01993513835542075
"(26181, 719)",0.019279487284068638
"(26181, 3677)",0.016980386906987964
"(26181, 1365)",0.03311849706896576
"(26181, 2691)",0.019930263169392774
"(26181, 1121)",0.020710437724086563
"(26181, 1493)",0.0181438614942366
"(26181, 770)",0.016827609765009303
"(26181, 1533)",0.0326889532928429
"(26181, 2847)",0.019034163368736555
"(26181, 3335)",0.03187444711853554
"(26181, 565)",0.017320666043699952
"(26181, 1973)",0.03269469657978098
"(10161, 719)",0.014129877411246447
"(10161, 3677)",0.016285937113822056
"(10161, 1365)",0.0017006222063003429
"(10161, 2691)",0.015691170760410544
"(10161, 1121)",0.014875057219586721
"(10161, 1493)",0.017584037379690044
"(10161, 770)",0.01589916604766314
"(10161, 1533)",0.001306490365966858
"(10161, 2847)",0.018338962342840666
"(10161, 3335)",0.0010822979004064732
"(10161, 565)",0.015374777094077082
"(10161, 1973)",0.001661874663603153
"(55051, 719)",0.016395842849901542
"(55051, 3677)",0.014096742472820868
"(55051, 1365)",0.03023485263479867
"(55051, 2691)",0.01704661873522568
"(55051, 1121)",0.017826793289919467
"(55051, 1493)",0.015260217060069506
"(55051, 770)",0.013943965330842209
"(55051, 1533)",0.029805308858675807
"(55051, 2847)",0.01615051893456946
"(55051, 3335)",0.02899080268436845
"(55051, 565)",0.01443702160953286
"(55051, 1973)",0.029811052145613894
"(13398, 719)",0.014428358789915415
"(13398, 3677)",0.012129258412834742
"(13398, 1365)",0.02826736857481254
"(13398, 2691)",0.015079134675239551
"(13398, 1121)",0.01585930922993334
"(13398, 1493)",0.013292733000083379
"(13398, 770)",0.011976481270856081
"(13398, 1533)",0.027837824798689677
"(13398, 2847)",0.014183034874583333
"(13398, 3335)",0.02702331862438232
"(13398, 565)",0.01246953754954673
"(13398, 1973)",0.027843568085627768
"(45578, 719)",0.015613252605164723
"(45578, 3677)",0.013314152228084051
"(45578, 1365)",0.029452262390061847
"(45578, 2691)",0.016264028490488858
"(45578, 1121)",0.01704420304518265
"(45578, 1493)",0.014477626815332687
"(45578, 770)",0.01316137508610539
"(45578, 1533)",0.029022718613938986
"(45578, 2847)",0.015367928689832642
"(45578, 3335)",0.028208212439631633
"(45578, 565)",0.013654431364796039
"(45578, 1973)",0.029028461900877073
"(16625, 719)",0.012616095859543564
"(16625, 3677)",0.010316995482462891
"(16625, 1365)",0.026455105644440688
"(16625, 2691)",0.0132668717448677
"(16625, 1121)",0.01404704629956149
"(16625, 1493)",0.01148047006971153
"(16625, 770)",0.01016421834048423
"(16625, 1533)",0.026025561868317827
"(16625, 2847)",0.012370771944211482
"(16625, 3335)",0.02521105569401047
"(16625, 565)",0.01065727461917488
"(16625, 1973)",0.026031305155255917
"(58236, 719)",0.028809207687692046
"(58236, 3677)",0.030965267390267656
"(58236, 1365)",0.01637995248274594
"(58236, 2691)",0.030370501036856144
"(58236, 1121)",0.02955438749603232
"(58236, 1493)",0.03226336765613565
"(58236, 770)",0.030578496324108737
"(58236, 1533)",0.015985820642412458
"(58236, 2847)",0.033018292619286266
"(58236, 3335)",0.015761628176852074
"(58236, 565)",0.03005410737052268
"(58236, 1973)",0.016341204940048752
"(7020, 719)",0.02937610994698856
