pick_up_lng,pick_up_lat,delivery_lng,delivery_lat,fetch_time,arrive_time
174527696,45905814,174504985,45892769,1666002993,1666004164
174531133,45905887,174547176,45889826,1666015292,1666017165
174530604,45905886,174561308,45914478,1665976460,1665977154
174531250,45905800,174545057,45886547,1665973357,1665974141
174531250,45905800,174527578,45905530,1665978807,1665979484
174531250,45905800,174536667,45904201,1666006393,1666006665
174530604,45905886,174567102,45907040,1665997510,1665998312
174530604,45905886,174529532,45892770,1665984279,1665984731
174529069,45912088,174534883,45919172,1665980896,1665981601
174529069,45912088,174519586,45912348,1665977136,1665977440
174531250,45905800,174549640,45894966,1665976694,1665977718
174529170,45912080,174533267,45919511,1666020899,1666021475
174529069,45912088,174506642,45931033,1666000676,1666002598
174528830,45911820,174546375,45920673,1665979257,1665980342
174531250,45905800,174524303,45907294,1665977084,1665977868
174530604,45905886,174553164,45919753,1665981392,1665982039
174531133,45905887,174546219,45899689,1666008115,1666008774
174530604,45905886,174565522,45907149,1666010246,1666011178
174530604,45905886,174535131,45888249,1665974640,1665975728
174528830,45911820,174538367,45911340,1665979342,1665979766
