pick_up_lng,pick_up_lat,delivery_lng,delivery_lat,fetch_time,arrive_time
174529069,45912088,174534508,45919575,1666149668,1666150295
174528830,45911820,174521312,45912534,1666187557,1666187863
174531133,45905887,174533928,45895768,1666152194,1666152685
174529170,45912080,174536598,45904531,1666179369,1666180372
174516559,45919951,174540501,45923069,1666170430,1666170915
174531250,45905800,174553860,45916473,1666159342,1666160040
174527696,45905814,174546282,45900926,1666149843,1666150856
174528830,45911820,174550811,45922313,1666182642,1666184437
174531133,45905887,174548082,45897263,1666194299,1666194804
174531026,45922340,174542096,45900057,1666153749,1666154683
174557214,45924613,174554956,45936489,1666142603,1666143096
174531250,45905800,174539209,45911488,1666181961,1666182754
174530604,45905886,174535270,45907308,1666150583,1666150805
174530604,45905886,174519820,45935289,1666158385,1666159305
174531133,45905887,174523085,45893545,1666162261,1666162779
174531250,45905800,174533107,45885129,1666189367,1666190166
174516559,45919951,174530132,45909072,1666181395,1666182146
174531250,45905800,174531555,45897447,1666178624,1666179796
174522167,45927456,174528962,45930669,1666149296,1666149959
174529170,45912080,174537866,45938763,1666176712,1666178596
174529170,45912080,174526721,45925292,1666152629,1666153641
174528011,45912864,174540763,45938953,1666174253,1666175518
174527696,45905814,174530431,45905224,1666175810,1666175953
174527696,45905814,174548099,45896376,1666149909,1666150941
174531250,45905800,174541537,45899949,1666152926,1666153250
174529506,45912019,174542707,45920890,1666152880,1666154047
174529069,45912088,174550766,45921609,1666154249,1666155367
174530604,45905886,174567927,45921347,1666162956,1666163574
174537595,45904078,174528361,45889990,1666173461,1666174304
174530604,45905886,174547424,45899799,1666154550,1666155249
174528011,45912864,174537883,45938327,1666171663,1666172649
174542723,45920412,174517761,45911771,1666152625,1666153881
174531250,45905800,174542776,45919072,1666150720,1666151922
174531250,45905800,174526144,45910095,1666189801,1666190241
174529170,45912080,174538017,45938722,1666180205,1666181460
174531250,45905800,174530120,45921384,1666173607,1666175208
174531250,45905800,174546684,45890072,1666176233,1666177129
174557214,45924613,174592095,45927531,1666177856,1666178544
174528011,45912864,174522765,45893043,1666169391,1666169881
174537595,45904078,174564785,45903990,1666172855,1666174078
