order_id,worker_id,service_time,t_p,t_d,t_w
60495,35,5.6834,0.47774,5.20566,0
60495,563,12.03843,6.83277,5.20566,0
60495,640,11.56281,6.35715,5.20566,0
60495,708,8.81669,3.61102,5.20566,0
60495,914,11.08816,5.8825,5.20566,0
60495,993,19.02158,13.81591,5.20566,0
60495,1157,5.69801,0.49234,5.20566,0
60495,1161,14.58133,9.37566,5.20566,0
60495,1339,8.08099,2.87533,5.20566,0
60495,1493,9.10404,3.89838,5.20566,0
60495,1534,9.65995,4.45429,5.20566,0
60495,1588,10.78635,5.58069,5.20566,0
60495,1628,8.19016,2.98449,5.20566,0
60495,2782,11.16847,5.96281,5.20566,0
60495,63,10.43493,5.22926,5.20566,0
60495,168,8.47356,3.2679,5.20566,0
60495,237,8.3435,3.13784,5.20566,0
60495,248,10.41457,5.2089,5.20566,0
60495,397,19.6643,14.45864,5.20566,0
60495,405,24.01965,18.81399,5.20566,0
60495,425,5.68845,0.48279,5.20566,0
60495,481,5.42861,0.22295,5.20566,0
60495,579,16.85229,11.64662,5.20566,0
60495,650,5.60057,0.3949,5.20566,0
60495,663,8.99643,3.79077,5.20566,0
60495,673,12.4177,7.21204,5.20566,0
60495,766,8.97118,3.76551,5.20566,0
60495,826,35.71777,30.5121,5.20566,0
60495,991,5.63702,0.43135,5.20566,0
60495,1089,14.00371,8.79804,5.20566,0
60495,1096,18.04727,12.8416,5.20566,0
60495,1128,11.98566,6.78,5.20566,0
60495,1129,21.05076,15.8451,5.20566,0
60495,1269,11.28864,6.08298,5.20566,0
60495,1472,7.84604,2.64037,5.20566,0
60495,1666,5.65236,0.4467,5.20566,0
60495,1829,6.8183,1.61264,5.20566,0
60495,1946,12.41387,7.20821,5.20566,0
60495,1952,9.6,4.39434,5.20566,0
60495,1999,11.7287,6.52304,5.20566,0
60495,2001,9.68174,4.47608,5.20566,0
60495,2091,10.50193,5.29626,5.20566,0
60495,2152,12.652,7.44633,5.20566,0
60495,2270,8.5793,3.37364,5.20566,0
60495,2503,7.46504,2.25937,5.20566,0
60495,2513,9.1603,3.95464,5.20566,0
60495,2538,6.92611,1.72045,5.20566,0
60495,2806,27.09038,21.88471,5.20566,0
60495,2921,12.20914,7.00348,5.20566,0
60495,3127,14.03403,8.82836,5.20566,0
60495,3159,22.3401,17.13444,5.20566,0
