order_id,worker_id,service_time,delivery_cost,estimated_profit
19595,1991,30.27769,5.72306,44.27694
6772,475,34.54245,5.50997,44.49003
9705,1261,36.70051,5.25026,44.74974
63942,443,35.43095,6.24315,43.75685
57753,878,14.75705,0.7868,49.2132
16348,1219,22.28659,3.31689,46.68311
32257,1348,31.8987,5.70368,44.29632
38584,1892,22.10392,3.66461,46.33539
60925,708,25.96215,3.16778,46.83222
57718,1216,16.52111,2.00465,47.99535
57704,1628,31.48698,3.87716,46.12284
29232,965,68.75685,1.97661,48.02339
51624,182,38.77945,6.83567,43.16433
54618,1125,45.42818,4.65598,45.34402
60871,191,16.81132,1.26216,48.73784
57791,1367,37.45017,5.45462,44.54538
9981,813,23.0537,2.90402,47.09598
10005,835,33.72533,6.73652,43.26348
3189,149,25.8756,4.09517,45.90483
22611,210,33.29543,2.79977,47.20023
