pick_up_lng,pick_up_lat,delivery_lng,delivery_lat,grab_time,arrive_time
174531250,45905800,174542776,45919072,1666150290,1666151922
174529170,45912080,174526721,45925292,1666152325,1666153641
174531250,45905800,174541537,45899949,1666152420,1666153250
174531250,45905800,174524549,45909255,1666155594,1666156228
174531250,45905800,174553860,45916473,1666158744,1666160040
174531250,45905800,174530120,45921384,1666173270,1666175208
174529170,45912080,174537866,45938763,1666176353,1666178596
174531250,45905800,174546684,45890072,1666175734,1666177129
174531250,45905800,174531555,45897447,1666178460,1666179796
174529170,45912080,174536598,45904531,1666178875,1666180372
174529170,45912080,174538017,45938722,1666179528,1666181460
174531250,45905800,174539209,45911488,1666181844,1666182754
174531250,45905800,174526144,45910095,1666189224,1666190241
174531250,45905800,174533107,45885129,1666189043,1666190166
