order_id,worker_id,service_time
60495,35,13.0834
60495,563,19.43843
60495,640,18.96281
60495,708,16.21669
60495,914,18.48816
60495,993,26.42158
60495,1157,13.09801
60495,1161,21.98133
60495,1339,15.48099
60495,1493,16.50404
60495,1534,17.05995
60495,1588,18.18635
60495,1628,15.59016
60495,2782,18.56847
60495,63,17.83493
60495,168,15.87356
60495,237,15.7435
60495,248,17.81457
60495,397,27.0643
60495,405,31.41965
60495,425,13.08845
60495,481,12.82861
60495,579,24.25229
60495,650,13.00057
60495,663,16.39643
60495,673,19.8177
60495,766,16.37118
60495,826,43.11777
60495,991,13.03702
60495,1089,21.40371
60495,1096,25.44727
60495,1128,19.38566
60495,1129,28.45076
60495,1269,18.68864
60495,1472,15.24604
60495,1666,13.05236
60495,1829,14.2183
60495,1946,19.81387
60495,1952,17
60495,1999,19.1287
60495,2001,17.08174
60495,2091,17.90193
60495,2152,20.052
60495,2270,15.9793
60495,2503,14.86504
60495,2513,16.5603
60495,2538,14.32611
60495,2806,34.49038
60495,2921,19.60914
60495,3127,21.43403
60495,3159,29.7401
60495,3211,12.98476
60495,3245,28.93658
60495,3346,18.61986
60495,3363,13.41459
60495,3369,29.22731
60495,3567,16.37635
60495,3653,15.25045
60495,3775,13.54889
60495,4204,19.25885
6144,35,23.75195
6144,563,24.95943
6144,640,25.57838
6144,708,22.75361
6144,914,23.00918
6144,993,33.58286
6144,1157,23.73528
6144,1161,33.60129
6144,1339,22.0378
6144,1493,23.20819
6144,1534,20.92751
6144,1588,21.95412
6144,1628,21.93742
6144,2782,23.41199
6144,63,23.18764
6144,168,27.15573
6144,237,26.41782
6144,248,22.63277
6144,397,35.70686
6144,405,43.04089
6144,425,23.74447
6144,481,24.10164
6144,579,35.56195
6144,650,24.04193
6144,663,23.12546
6144,673,24.78661
6144,766,21.41869
6144,826,46.91324
6144,991,23.79592
6144,1089,32.21759
6144,1096,35.10707
6144,1128,24.82773
6144,1129,36.70588
6144,1269,23.5465
