order_id,worker_id,service_time,delivery_cost,estimated_profit
19595,1991,31.4774,5.72306,9.27694
6772,475,35.69749,5.50997,9.49003
9705,1261,37.80111,5.25026,9.74974
63942,443,36.73968,6.24315,8.75685
57753,878,14.92198,0.7868,14.2132
16348,1219,22.9819,3.31689,11.68311
32257,1348,33.09435,5.70368,9.29632
38584,1892,22.87213,3.66461,11.33539
60925,708,26.62621,3.16778,11.83222
57718,1216,16.94134,2.00465,12.99535
57704,1628,32.29973,3.87716,11.12284
29232,965,69.1712,1.97661,13.02339
51624,182,40.21239,6.83567,8.16433
54618,1125,46.4042,4.65598,10.34402
60871,191,17.07591,1.26216,13.73784
57791,1367,38.59361,5.45462,9.54538
9981,813,23.66247,2.90402,12.09598
10005,835,35.13749,6.73652,8.26348
3189,149,26.73406,4.09517,10.90483
22611,210,33.88234,2.79977,12.20023
