location_id,x,y
op_20166_wy_20304,174531250,45905800
op_16964_wy_17069,174529170,45912080
op_10575_wy_10607,174531250,45905800
op_55472_wy_56432,174531250,45905800
op_58590_wy_59664,174531250,45905800
op_17099_wy_17205,174531250,45905800
op_36317_wy_36713,174529170,45912080
op_39505_wy_39978,174531250,45905800
op_46095_wy_46752,174531250,45905800
op_13922_wy_23820,174529170,45912080
op_42816_wy_43372,174529170,45912080
op_46124_wy_46781,174531250,45905800
op_26883_wy_27116,174531250,45905800
op_49342_wy_50089,174531250,45905800
od_20166_wy_20304,174542776,45919072
od_16964_wy_17069,174526721,45925292
od_10575_wy_10607,174541537,45899949
od_55472_wy_56432,174524549,45909255
od_58590_wy_59664,174553860,45916473
od_17099_wy_17205,174530120,45921384
od_36317_wy_36713,174537866,45938763
od_39505_wy_39978,174546684,45890072
od_46095_wy_46752,174531555,45897447
od_13922_wy_23820,174536598,45904531
od_42816_wy_43372,174538017,45938722
od_46124_wy_46781,174539209,45911488
od_26883_wy_27116,174526144,45910095
od_49342_wy_50089,174533107,45885129
wo_3363_wy_20304,174530767,45905971
wo_1886_wy_17069,174527709,45912665
wo_2353_wy_10607,174527022,45905811
wo_475_wy_56432,174529894,45906108
wo_770_wy_59664,174529192,45906046
wo_3970_wy_17205,174535468,45905813
wo_1751_wy_36713,174526586,45911689
wo_3986_wy_39978,174525445,45906801
wo_1511_wy_46752,174529314,45905980
wo_411_wy_23820,174526425,45910482
wo_3562_wy_43372,174527518,45912680
wo_1072_wy_46781,174528840,45906075
wo_3364_wy_27116,174525219,45911925
wo_1339_wy_50089,174530623,45906085
